date,value,category,topic
2022-06-17,39.0,Economics,Finance
2022-06-18,23.0,Economics,Finance
2022-06-19,19.0,Economics,Finance
2022-06-20,37.0,Economics,Finance
2022-06-21,40.0,Economics,Finance
2022-06-22,42.0,Economics,Finance
2022-06-23,39.0,Economics,Finance
2022-06-24,38.0,Economics,Finance
2022-06-25,23.0,Economics,Finance
2022-06-26,18.0,Economics,Finance
2022-06-27,40.0,Economics,Finance
2022-06-28,38.0,Economics,Finance
2022-06-29,38.0,Economics,Finance
2022-06-30,37.0,Economics,Finance
2022-07-01,38.0,Economics,Finance
2022-07-02,23.0,Economics,Finance
2022-07-03,19.0,Economics,Finance
2022-07-04,32.0,Economics,Finance
2022-07-05,40.0,Economics,Finance
2022-07-06,41.0,Economics,Finance
2022-07-07,40.0,Economics,Finance
2022-07-08,37.0,Economics,Finance
2022-07-09,21.0,Economics,Finance
2022-07-10,18.0,Economics,Finance
2022-07-11,38.0,Economics,Finance
2022-07-12,38.0,Economics,Finance
2022-07-13,39.0,Economics,Finance
2022-07-14,38.0,Economics,Finance
2022-07-15,38.0,Economics,Finance
2022-07-16,24.0,Economics,Finance
2022-07-17,19.0,Economics,Finance
2022-07-18,40.0,Economics,Finance
2022-07-19,41.0,Economics,Finance
2022-07-20,41.0,Economics,Finance
2022-07-21,41.0,Economics,Finance
2022-07-22,41.0,Economics,Finance
2022-07-23,22.0,Economics,Finance
2022-07-24,19.0,Economics,Finance
2022-07-25,40.0,Economics,Finance
2022-07-26,40.0,Economics,Finance
2022-07-27,39.0,Economics,Finance
2022-07-28,45.0,Economics,Finance
2022-07-29,40.0,Economics,Finance
2022-07-30,23.0,Economics,Finance
2022-07-31,20.0,Economics,Finance
2022-08-01,40.0,Economics,Finance
2022-08-02,41.0,Economics,Finance
2022-08-03,42.0,Economics,Finance
2022-08-04,42.0,Economics,Finance
2022-08-05,41.0,Economics,Finance
2022-08-06,23.0,Economics,Finance
2022-08-07,20.0,Economics,Finance
2022-08-08,41.0,Economics,Finance
2022-08-09,39.0,Economics,Finance
2022-08-10,39.0,Economics,Finance
2022-08-11,39.0,Economics,Finance
2022-08-12,37.0,Economics,Finance
2022-08-13,21.0,Economics,Finance
2022-08-14,20.0,Economics,Finance
2022-08-15,36.0,Economics,Finance
2022-08-16,44.0,Economics,Finance
2022-08-17,44.0,Economics,Finance
2022-08-18,41.0,Economics,Finance
2022-08-19,38.0,Economics,Finance
2022-08-20,24.0,Economics,Finance
2022-08-21,20.0,Economics,Finance
2022-08-22,40.0,Economics,Finance
2022-08-23,41.0,Economics,Finance
2022-08-24,41.0,Economics,Finance
2022-08-25,41.0,Economics,Finance
2022-08-26,40.0,Economics,Finance
2022-08-27,22.0,Economics,Finance
2022-08-28,19.0,Economics,Finance
2022-08-29,39.0,Economics,Finance
2022-08-30,41.86172428154936,Economics,Finance
2022-08-31,36.13327780091629,Economics,Finance
2022-09-01,38.77717617659309,Economics,Finance
2022-09-02,37.014577259475224,Economics,Finance
2022-09-03,22.473136193252813,Economics,Finance
2022-09-04,19.388588088296544,Economics,Finance
2022-09-05,32.608079966680556,Economics,Finance
2022-09-06,39.65847563515202,Economics,Finance
2022-09-07,39.21782590587256,Economics,Finance
2022-09-08,39.21782590587256,Economics,Finance
2022-09-09,36.13327780091629,Economics,Finance
2022-09-10,22.032486463973346,Economics,Finance
2022-09-11,20.26988754685548,Economics,Finance
2022-09-12,43.62432319866723,Economics,Finance
2022-09-13,42.30237401082883,Economics,Finance
2022-09-14,42.30237401082883,Economics,Finance
2022-09-15,41.42107455226989,Economics,Finance
2022-09-16,40.099125364431494,Economics,Finance
2022-09-17,23.354435651811748,Economics,Finance
2022-09-18,19.388588088296544,Economics,Finance
2022-09-19,37.89587671803416,Economics,Finance
2022-09-20,41.42107455226989,Economics,Finance
2022-09-21,43.18367346938776,Economics,Finance
2022-09-22,41.42107455226989,Economics,Finance
2022-09-23,38.336526447313624,Economics,Finance
2022-09-24,22.91378592253228,Economics,Finance
2022-09-25,20.26988754685548,Economics,Finance
2022-09-26,40.98042482299043,Economics,Finance
2022-09-27,40.98042482299043,Economics,Finance
2022-09-28,40.53977509371096,Economics,Finance
2022-09-29,40.98042482299043,Economics,Finance
2022-09-30,39.21782590587256,Economics,Finance
2022-10-01,22.91378592253228,Economics,Finance
2022-10-02,18.94793835901708,Economics,Finance
2022-10-03,40.53977509371096,Economics,Finance
2022-10-04,39.65847563515202,Economics,Finance
2022-10-05,37.014577259475224,Economics,Finance
2022-10-06,40.53977509371096,Economics,Finance
2022-10-07,38.77717617659309,Economics,Finance
2022-10-08,22.032486463973346,Economics,Finance
2022-10-09,18.94793835901708,Economics,Finance
2022-10-10,37.45522698875469,Economics,Finance
2022-10-11,38.336526447313624,Economics,Finance
2022-10-12,39.65847563515202,Economics,Finance
2022-10-13,39.65847563515202,Economics,Finance
2022-10-14,40.53977509371096,Economics,Finance
2022-10-15,22.91378592253228,Economics,Finance
2022-10-16,18.507288629737612,Economics,Finance
2022-10-17,39.21782590587256,Economics,Finance
2022-10-18,39.21782590587256,Economics,Finance
2022-10-19,38.77717617659309,Economics,Finance
2022-10-20,39.21782590587256,Economics,Finance
2022-10-21,37.89587671803416,Economics,Finance
2022-10-22,20.26988754685548,Economics,Finance
2022-10-23,17.18533944189921,Economics,Finance
2022-10-24,34.37067888379842,Economics,Finance
2022-10-25,37.89587671803416,Economics,Finance
2022-10-26,36.57392753019575,Economics,Finance
2022-10-27,39.21782590587256,Economics,Finance
2022-10-28,39.21782590587256,Economics,Finance
2022-10-29,22.032486463973346,Economics,Finance
2022-10-30,17.625989171178677,Economics,Finance
2022-10-31,39.65847563515202,Economics,Finance
2022-11-01,40.53977509371096,Economics,Finance
2022-11-02,41.42107455226989,Economics,Finance
2022-11-03,40.98042482299043,Economics,Finance
2022-11-04,39.21782590587256,Economics,Finance
2022-11-05,22.91378592253228,Economics,Finance
2022-11-06,18.066638900458145,Economics,Finance
2022-11-07,40.099125364431494,Economics,Finance
2022-11-08,37.014577259475224,Economics,Finance
2022-11-09,40.98042482299043,Economics,Finance
2022-11-10,40.53977509371096,Economics,Finance
2022-11-11,40.98042482299043,Economics,Finance
2022-11-12,21.151187005414414,Economics,Finance
2022-11-13,18.507288629737612,Economics,Finance
2022-11-14,39.65847563515202,Economics,Finance
2022-11-15,43.18367346938776,Economics,Finance
2022-11-16,40.099125364431494,Economics,Finance
2022-11-17,37.45522698875469,Economics,Finance
2022-11-18,37.89587671803416,Economics,Finance
2022-11-19,21.151187005414414,Economics,Finance
2022-11-20,17.625989171178677,Economics,Finance
2022-11-21,35.251978342357354,Economics,Finance
2022-11-22,34.37067888379842,Economics,Finance
2022-11-23,36.13327780091629,Economics,Finance
2022-11-24,28.201582673885884,Economics,Finance
2022-11-25,30.845481049562686,Economics,Finance
2022-11-26,19.388588088296544,Economics,Finance
2022-11-27,17.18533944189921,Economics,Finance
2022-11-28,35.692628071636825,Economics,Finance
2022-11-29,36.57392753019575,Economics,Finance
2022-11-30,36.13327780091629,Economics,Finance
2022-12-01,37.014577259475224,Economics,Finance
2022-12-02,35.692628071636825,Economics,Finance
2022-12-03,22.473136193252813,Economics,Finance
2022-12-04,17.18533944189921,Economics,Finance
2022-12-05,37.89587671803416,Economics,Finance
2022-12-06,37.89587671803416,Economics,Finance
2022-12-07,37.014577259475224,Economics,Finance
2022-12-08,38.77717617659309,Economics,Finance
2022-12-09,33.489379425239484,Economics,Finance
2022-12-10,20.26988754685548,Economics,Finance
2022-12-11,18.066638900458145,Economics,Finance
2022-12-12,36.13327780091629,Economics,Finance
2022-12-13,37.014577259475224,Economics,Finance
2022-12-14,37.014577259475224,Economics,Finance
2022-12-15,37.45522698875469,Economics,Finance
2022-12-16,36.13327780091629,Economics,Finance
2022-12-17,21.59183673469388,Economics,Finance
