date,value,category,topic
2025-08-15,95,Politics,Diplomacy
2025-08-16,92,Politics,Diplomacy
2025-08-17,83,Politics,Diplomacy
2025-08-18,91,Politics,Diplomacy
2025-08-19,100,Politics,Diplomacy
2025-08-02,44,Politics,Legislation
2025-08-03,51,Politics,Legislation
2025-08-04,79,Politics,Legislation
2025-08-05,80,Politics,Legislation
2025-08-06,83,Politics,Legislation
2025-08-07,69,Politics,Legislation
2025-08-08,57,Politics,Legislation
2025-08-09,45,Politics,Legislation
2025-08-10,50,Politics,Legislation
2025-08-11,74,Politics,Legislation
2025-08-12,93,Politics,Legislation
2025-08-13,91,Politics,Legislation
2025-08-14,100,Politics,Legislation
2025-08-15,90,Politics,Legislation
2025-08-16,68,Politics,Legislation
2025-08-17,74,Politics,Legislation
2025-08-18,96,Politics,Legislation
2025-08-19,99,Politics,Legislation
2025-08-02,78,Military,Defense
2025-08-03,74,Military,Defense
2025-08-04,74,Military,Defense
2025-08-05,76,Military,Defense
2025-08-06,75,Military,Defense
2025-08-07,73,Military,Defense
2025-08-08,73,Military,Defense
2025-08-09,78,Military,Defense
2025-08-10,83,Military,Defense
2025-08-11,81,Military,Defense
2025-08-12,82,Military,Defense
2025-08-13,86,Military,Defense
2025-08-14,90,Military,Defense
2025-08-15,100,Military,Defense
2025-08-16,100,Military,Defense
2025-08-17,96,Military,Defense
2025-08-18,92,Military,Defense
2025-08-19,92,Military,Defense
2025-08-02,83,Military,Army
2025-08-03,84,Military,Army
2025-08-04,90,Military,Army
2025-08-05,91,Military,Army
2025-08-06,100,Military,Army
2025-08-07,89,Military,Army
2025-08-08,82,Military,Army
2025-08-09,84,Military,Army
2025-08-10,88,Military,Army
2025-08-11,91,Military,Army
2025-08-12,96,Military,Army
2025-08-13,95,Military,Army
2025-08-14,96,Military,Army
2025-08-15,99,Military,Army
2025-08-16,90,Military,Army
2025-08-17,89,Military,Army
2025-08-18,90,Military,Army
2025-08-19,83,Military,Army
2025-08-02,95,Military,Navy
2025-08-03,96,Military,Navy
2025-08-04,91,Military,Navy
2025-08-05,92,Military,Navy
2025-08-06,94,Military,Navy
2025-08-07,88,Military,Navy
2025-08-08,87,Military,Navy
2025-08-09,100,Military,Navy
2025-08-10,99,Military,Navy
2025-08-11,93,Military,Navy
2025-08-12,94,Military,Navy
2025-08-13,90,Military,Navy
2025-08-14,90,Military,Navy
2025-08-15,95,Military,Navy
2025-08-16,97,Military,Navy
2025-08-17,99,Military,Navy
2025-08-18,95,Military,Navy
2025-08-19,78,Military,Navy
2025-08-02,73,Military,Air Force
2025-08-03,72,Military,Air Force
2025-08-04,77,Military,Air Force
2025-08-05,75,Military,Air Force
2025-08-06,79,Military,Air Force
2025-08-07,77,Military,Air Force
2025-08-08,73,Military,Air Force
2025-08-09,80,Military,Air Force
2025-08-10,77,Military,Air Force
2025-08-11,75,Military,Air Force
2025-08-12,79,Military,Air Force
2025-08-13,79,Military,Air Force
2025-08-14,76,Military,Air Force
2025-08-15,100,Military,Air Force
2025-08-16,88,Military,Air Force
2025-08-17,81,Military,Air Force
2025-08-18,84,Military,Air Force
2025-08-19,75,Military,Air Force
2025-08-02,47,Military,Cybersecurity
2025-08-03,46,Military,Cybersecurity
2025-08-04,64,Military,Cybersecurity
2025-08-05,58,Military,Cybersecurity
2025-08-06,64,Military,Cybersecurity
2025-08-07,61,Military,Cybersecurity
2025-08-08,54,Military,Cybersecurity
2025-08-09,49,Military,Cybersecurity
2025-08-10,51,Military,Cybersecurity
2025-08-11,62,Military,Cybersecurity
2025-08-12,80,Military,Cybersecurity
2025-08-13,79,Military,Cybersecurity
2025-08-14,88,Military,Cybersecurity
2025-08-15,86,Military,Cybersecurity
2025-08-16,74,Military,Cybersecurity
2025-08-17,72,Military,Cybersecurity
2025-08-18,91,Military,Cybersecurity
2025-08-19,100,Military,Cybersecurity
2025-08-02,62,Security,Cyber Attack
2025-08-03,55,Security,Cyber Attack
2025-08-04,67,Security,Cyber Attack
2025-08-05,76,Security,Cyber Attack
2025-08-06,67,Security,Cyber Attack
2025-08-07,70,Security,Cyber Attack
2025-08-08,55,Security,Cyber Attack
2025-08-09,42,Security,Cyber Attack
2025-08-10,51,Security,Cyber Attack
2025-08-11,77,Security,Cyber Attack
2025-08-12,86,Security,Cyber Attack
2025-08-13,87,Security,Cyber Attack
2025-08-14,96,Security,Cyber Attack
2025-08-15,97,Security,Cyber Attack
2025-08-16,70,Security,Cyber Attack
2025-08-17,68,Security,Cyber Attack
2025-08-18,96,Security,Cyber Attack
2025-08-19,100,Security,Cyber Attack
2025-08-02,43,Security,Terrorism
2025-08-03,47,Security,Terrorism
2025-08-04,64,Security,Terrorism
2025-08-05,59,Security,Terrorism
2025-08-06,69,Security,Terrorism
2025-08-07,68,Security,Terrorism
2025-08-08,57,Security,Terrorism
2025-08-09,57,Security,Terrorism
2025-08-10,67,Security,Terrorism
2025-08-11,81,Security,Terrorism
2025-08-12,84,Security,Terrorism
2025-08-13,80,Security,Terrorism
2025-08-14,90,Security,Terrorism
2025-08-15,88,Security,Terrorism
2025-08-16,71,Security,Terrorism
2025-08-17,74,Security,Terrorism
2025-08-18,86,Security,Terrorism
2025-08-19,100,Security,Terrorism
2025-08-02,54,Security,Surveillance
2025-08-03,53,Security,Surveillance
2025-08-04,65,Security,Surveillance
2025-08-05,59,Security,Surveillance
2025-08-06,65,Security,Surveillance
2025-08-07,60,Security,Surveillance
2025-08-08,55,Security,Surveillance
2025-08-09,58,Security,Surveillance
